Ranga,Słowo,Liczba_sasiadow,Centralnosc_norm
1,sekä,28,0.9655
2,vuonna,28,0.9655
3,yksi,28,0.9655
4,osa,27,0.931
5,nimi,27,0.931
6,toinen,27,0.931
7,ensimmäinen,27,0.931
8,uusi,27,0.931
9,the,27,0.931
10,kanssa,27,0.931
11,kaksi,27,0.931
12,muualla,27,0.931
13,jälkeen,27,0.931
14,suomalainen,26,0.8966
15,luokka,25,0.8621
16,suomi,25,0.8621
17,tehdä,25,0.8621
18,alue,24,0.8276
19,aika,24,0.8276
20,elokuva,23,0.7931
21,luku,23,0.7931
22,lähde,23,0.7931
23,kausi,22,0.7586
24,muu,22,0.7586
25,lokakuu,18,0.6207
26,syntyä,18,0.6207
27,aihe,18,0.6207
28,syyskuu,17,0.5862
29,peak,3,0.1034
30,lempo,0,0.0
